Frequenza (Hz),Re(S21),Im(S21)
1000000000.000,0.484,-0.479
1010101010.101,0.524,-0.434
1020202020.202,0.559,-0.387
1030303030.303,0.591,-0.336
1040404040.404,0.617,-0.283
1050505050.505,0.639,-0.228
1060606060.606,0.656,-0.171
1070707070.707,0.669,-0.113
1080808080.808,0.675,-0.054
1090909090.909,0.676,0.005
1101010101.010,0.673,0.064
1111111111.111,0.663,0.123
1121212121.212,0.649,0.181
1131313131.313,0.630,0.237
1141414141.414,0.606,0.292
1151515151.515,0.582,0.345
1161616161.616,0.548,0.393
1171717171.717,0.507,0.439
1181818181.818,0.465,0.482
1191919191.919,0.420,0.521
1202020202.020,0.373,0.557
1212121212.121,0.323,0.588
1222222222.222,0.267,0.611
1232323232.323,0.211,0.632
1242424242.424,0.154,0.647
1252525252.525,0.095,0.658
1262626262.626,0.035,0.663
1272727272.727,-0.025,0.663
1282828282.828,-0.084,0.658
1292929292.929,-0.143,0.647
1303030303.030,-0.200,0.631
1313131313.131,-0.256,0.610
1323232323.232,-0.310,0.585
1333333333.333,-0.361,0.554
1343434343.434,-0.409,0.519
1353535353.535,-0.454,0.480
1363636363.636,-0.495,0.437
1373737373.737,-0.533,0.390
1383838383.838,-0.566,0.341
1393939393.939,-0.594,0.289
1404040404.040,-0.618,0.234
1414141414.141,-0.636,0.177
1424242424.242,-0.650,0.119
1434343434.343,-0.658,0.061
1444444444.444,-0.661,0.001
1454545454.545,-0.659,-0.058
1464646464.646,-0.651,-0.117
1474747474.747,-0.639,-0.175
1484848484.848,-0.621,-0.231
1494949494.949,-0.598,-0.286
1505050505.051,-0.571,-0.338
1515151515.152,-0.539,-0.387
1525252525.253,-0.503,-0.434
1535353535.354,-0.463,-0.478
1545454545.455,-0.419,-0.517
1555555555.556,-0.372,-0.552
1565656565.657,-0.322,-0.583
1575757575.758,-0.270,-0.609
1585858585.859,-0.215,-0.631
1595959595.960,-0.159,-0.648
1606060606.061,-0.102,-0.660
1616161616.162,-0.044,-0.667
1626262626.263,0.014,-0.668
1636363636.364,0.072,-0.665
1646464646.465,0.130,-0.656
1656565656.566,0.186,-0.643
1666666666.667,0.241,-0.624
1676767676.768,0.294,-0.601
1686868686.869,0.345,-0.574
1696969696.970,0.393,-0.542
1707070707.071,0.438,-0.506
1717171717.172,0.480,-0.466
1727272727.273,0.519,-0.423
1737373737.374,0.553,-0.377
1747474747.475,0.583,-0.327
1757575757.576,0.609,-0.276
1767676767.677,0.630,-0.223
1777777777.778,0.647,-0.168
1787878787.879,0.658,-0.111
1797979797.980,0.665,-0.054
1808080808.081,0.667,0.003
1818181818.182,0.663,0.060
1828282828.283,0.655,0.117
1838383838.384,0.642,0.172
1848484848.485,0.625,0.227
1858585858.586,0.603,0.280
1868686868.687,0.576,0.330
1878787878.788,0.545,0.378
1888888888.889,0.510,0.424
1898989898.990,0.471,0.466
1909090909.091,0.429,0.504
1919191919.192,0.383,0.538
1929292929.293,0.335,0.569
1939393939.394,0.285,0.595
1949494949.495,0.232,0.617
1959595959.596,0.178,0.635
1969696969.697,0.122,0.647
1979797979.798,0.065,0.655
1989898989.899,0.008,0.658
2000000000.000,-0.049,0.656
